semptom,poliklinik,açıklama
"Baş ağrısı, mide bulantısı",Nöroloji,Sürekli baş ağrısı veya mide bulantısı nörolojik sorunlara bağlı olabilir.
"Boğaz ağrısı, ateş",KBB / Enfeksiyon Hastalıkları,Viral veya bakteriyel enfeksiyon kaynaklı olabilir.
"Göğüs ağrısı, nefes darlığı",Kardiyoloji / Göğüs Hastalıkları,Kalp veya akciğer kaynaklı olabilir.
"Karın ağrısı, ishal",Dahiliye / Gastroenteroloji,Sindirim sistemi rahatsızlıklarında görülür.
"Sırt ağrısı, kas tutulması",Fizik Tedavi ve Rehabilitasyon,Kas-iskelet sistemi sorunlarıyla ilgilidir.
"Mide yanması, gaz",Gastroenteroloji,Mide asidi veya reflü kaynaklı olabilir.
"Ciltte kaşıntı, kızarıklık",Dermatoloji,Alerji veya deri enfeksiyonlarına bağlı olabilir.
"Gözde kızarma, yanma",Göz Hastalıkları,Göz enfeksiyonları veya alerjik reaksiyonlar görülebilir.
Diş ağrısı,Diş Hekimliği,Diş çürüğü veya diş eti enfeksiyonu olabilir.
"Kulak ağrısı, işitme azlığı",KBB,Orta kulak iltihabı veya tıkanıklık olabilir.
"Sık idrara çıkma, yanma",Üroloji,İdrar yolu enfeksiyonu veya mesane sorunları olabilir.
Adet düzensizliği,Kadın Doğum,Hormonal veya jinekolojik nedenler olabilir.
"Kilo kaybı, halsizlik",Endokrinoloji / Dahiliye,Tiroid veya metabolik rahatsızlık olabilir.
"Eklemlerde şişlik, ağrı",Romatoloji,Romatizmal hastalıklar kaynaklı olabilir.
Kalp çarpıntısı,Kardiyoloji,Ritim bozukluğu veya anksiyete belirtisi olabilir.
"Uyku bozukluğu, stres",Psikiyatri,Anksiyete veya depresyon kaynaklı olabilir.
"Nefes darlığı, öksürük",Göğüs Hastalıkları,Astım veya bronşit gibi solunum yolu hastalıkları olabilir.
"Burun tıkanıklığı, geniz akıntısı",KBB,Alerjik rinit veya sinüzit olabilir.
"Sıcak basması, terleme",Endokrinoloji / Kadın Doğum,Menopoz veya hormon dengesizliği belirtisi olabilir.
"Göz seğirmesi, baş dönmesi",Nöroloji,Yorgunluk veya sinir sistemi bozukluklarıyla ilgili olabilir.
"Yorgunluk, kansızlık",Dahiliye,Demir eksikliği veya vitamin yetersizliği olabilir.
"Döküntü, ateş",Enfeksiyon Hastalıkları / Dermatoloji,Viral enfeksiyon veya alerjik reaksiyon olabilir.
El titremesi,Nöroloji / Endokrinoloji,Parkinson veya tiroid bozukluklarıyla ilişkili olabilir.
